nome_municipio,codigo_ibge,SG_UF,FEMININO,MASCULINO,NÃO DIVULGÁVEL,NÃO INFORMADO
BARRA D'ALCÂNTARA,2201176,PI,8,44,0,0
BARRA DA ESTIVA,2902807,BA,8,52,0,0
BARRA DE GUABIRABA,2601300,PE,8,42,0,0
BARRA DE SANTA ROSA,2501609,PB,4,54,0,0
BARRA DE SANTANA,2501575,PB,4,50,0,0
BARRA DE SANTO ANTÔNIO,2700508,AL,9,42,0,0
BARRA DE SÃO FRANCISCO,3200904,ES,3,62,0,0
BARRA DE SÃO MIGUEL,2501708,PB,8,45,0,0
BARRA DE SÃO MIGUEL,2700607,AL,16,33,0,0
BARRA DO BUGRES,5101704,MT,9,54,0,0
BARRA DO CHAPÉU,3505351,SP,11,40,0,0
BARRA DO CHOÇA,2902906,BA,8,55,0,0
BARRA DO CORDA,2101608,MA,21,61,0,0
BARRA DO GARÇAS,5101803,MT,10,63,0,0
BARRA DO GUARITA,4301859,RS,9,43,0,0
BARRA DO JACARÉ,4102703,PR,8,40,0,0
BARRA DO MENDES,2903003,BA,8,44,0,0
BARRA DO OURO,1703073,TO,9,44,0,0
BARRA DO PIRAÍ,3300308,RJ,5,66,0,0
BARRA DO QUARAÍ,4301875,RS,5,47,0,0
BARRA DO RIBEIRO,4301909,RS,7,44,0,0
BARRA DO RIO AZUL,4301925,RS,8,44,0,0
BARRA DO ROCHA,2903102,BA,7,44,0,0
BARRA DO TURVO,3505401,SP,11,38,0,0
BARRA DOS COQUEIROS,2800605,SE,11,48,0,0
BARRA FUNDA,4301958,RS,16,37,0,0
BARRA LONGA,3105707,MG,1,48,0,0
BARRA MANSA,3300407,RJ,10,81,0,0
BARRA VELHA,4202107,SC,3,47,0,0
BARRACÃO,4102604,PR,2,49,0,0
BARRACÃO,4301800,RS,7,43,0,0
BARRAS,2201200,PI,12,51,0,0
BARREIRA,2301950,CE,2,55,0,0
BARREIRAS,2903201,BA,27,60,0,0
BARREIRAS DO PIAUÍ,2201309,PI,9,43,0,0
BARREIRINHA,1300508,AM,8,47,0,0
BARREIRINHAS,2101707,MA,11,60,0,0
BARREIROS,2601409,PE,6,56,0,0
BARRETOS,3505500,SP,5,84,0,0
BARRINHA,3505609,SP,7,50,0,0
BARRO,2302008,CE,10,53,0,0
